price,class,weight,condition,taste grade,size,age,type,origin
0.95,6,384,3,8,247,24,Reed,Peru
1.37,5,389,3,10,390,23,Reed,Other
0.62,4,122,4,7,123,17,Gwen,Peru
1.15,3,228,3,8,126,28,Reed,Israel
0.73,4,277,4,7,195,14,Pinkerton,South Africa
0.8,4,252,3,9,253,10,Gwen,Israel
0.77,4,306,3,8,307,6,Gwen,Israel
0.73,4,239,3,9,240,7,Gwen,Other
0.76,3,132,3,8,133,14,Pinkerton,Other
0.78,5,290,3,8,166,14,Gwen,South Africa
0.59,2,70,3,6,71,23,Pinkerton,Spain
0.8,3,221,3,8,222,7,Reed,Peru
0.96,3,218,3,9,219,11,Gwen,Chile
0.66,3,208,3,7,156,6,Reed,Peru
0.95,4,209,3,8,150,13,Gwen,Peru
0.85,3,172,5,7,97,26,Reed,Other
1.04,4,246,5,8,247,17,Hass,Other
0.65,3,147,4,7,148,21,Hass,Israel
0.9,3,165,3,8,166,40,Hass,Other
0.71,3,169,3,8,170,8,Pinkerton,Chile
0.57,3,97,4,6,98,19,Hass,Other
0.77,4,203,4,7,114,16,Gwen,Chile
1.09,4,254,3,10,255,12,Pinkerton,Other
0.79,3,157,4,7,121,12,Reed,Peru
1.03,5,258,4,8,173,18,Pinkerton,Other
0.9,5,209,3,8,143,18,Hass,South Africa
1.12,4,326,3,9,327,6,Pinkerton,Peru
1.49,4,383,4,11,384,10,Reed,Spain
1.13,3,213,5,8,154,37,Reed,Chile
0.78,3,169,3,8,142,2,Reed,Spain
1.22,2,178,5,9,179,15,Gwen,South Africa
0.99,4,162,4,7,139,24,Reed,Peru
1.19,6,421,3,9,329,4,Hass,Spain
1.22,5,298,3,9,299,7,Gwen,Spain
0.76,3,149,4,8,150,14,Pinkerton,Peru
0.78,4,211,3,8,212,7,Reed,Chile
1.54,6,656.3,3,10,516.3,6,Gwen,South Africa
0.78,3,151,5,8,152,21,Gwen,Chile
0.72,3,183,3,8,160,25,Pinkerton,Chile
0.75,2,123,4,7,84,24,Reed,Spain
1.16,3,218,5,8,131,24,Hass,Chile
0.85,4,222,4,8,112,20,Reed,Spain
0.64,4,173,3,7,174,19,Pinkerton,Peru
0.74,4,199,4,8,200,17,Reed,Israel
0.86,3,154,5,7,122,13,Hass,Israel
0.55,2,110,4,6,111,25,Gwen,Chile
0.81,4,164,4,7,83,36,Hass,Israel
0.73,4,259,3,8,260,6,Pinkerton,Chile
0.64,3,145,4,7,146,16,Reed,Israel
0.65,3,118,4,7,119,9,Pinkerton,Peru
0.68,4,182,3,7,123,15,Pinkerton,Other
1.24,4,236,4,10,237,17,Pinkerton,Peru
0.72,3,112,4,7,113,16,Reed,Peru
0.69,3,164.6,3,7,165.6,9,Reed,Peru
1.23,5,421,3,10,422,5,Reed,Israel
0.95,3,248,4,8,163,15,Hass,Chile
1.04,3,159,3,8,132,23,Pinkerton,South Africa
0.95,4,213,5,7,166,34,Hass,Other
0.8,3,165,4,7,166,18,Reed,Peru
0.94,2,309,4,10,226,14,Hass,Peru
0.94,4,218,3,8,171,6,Gwen,Other
0.95,3,180,3,7,105,24,Pinkerton,South Africa
1.13,4,372,3,10,373,12,Reed,Chile
0.6,3,110,3,6,111,20,Hass,Other
0.68,3,153,3,7,154,11,Pinkerton,Chile
1.1,4,301,3,9,302,5,Pinkerton,Israel
1.11,3,350,3,10,351,4,Reed,Peru
0.89,5,310,3,7,311,5,Pinkerton,South Africa
0.67,4,200,4,7,118,19,Hass,Chile
1.09,4,229,3,7,152,18,Hass,Chile
0.87,4,240,3,7,152,18,Reed,Peru
0.68,3,185,3,8,186,7,Hass,South Africa
1.04,3,368,3,9,235,11,Reed,Chile
0.55,3,106,3,7,107,20,Hass,Israel
0.63,3,106,3,7,107,20,Pinkerton,Peru
0.8,3,161,3,7,162,39,Gwen,South Africa
0.94,3,233,4,7,164,27,Hass,Peru
0.75,2,121,3,8,107,23,Gwen,South Africa
0.73,4,153,3,7,99,32,Hass,Spain
0.78,4,227,4,7,137,14,Hass,Israel
1.43,4,259,4,10,260,30,Gwen,Chile
1.6,3,185,4,8,186,22,Reed,Other
0.68,3,150,4,6,151,29,Hass,Spain
1.41,4,474,3,11,475,10,Pinkerton,Israel
0.81,2,171,5,7,117,23,Pinkerton,Israel
0.8,3,192,4,8,193,16,Gwen,South Africa
0.71,2,115,3,7,116,22,Hass,Peru
0.99,3,232,3,8,233,5,Reed,Israel
0.83,4,142,3,7,143,23,Gwen,Peru
0.74,3,155,3,7,122,11,Reed,Israel
1.32,4,292,3,8,148,33,Pinkerton,Israel
0.85,3,162,5,7,84,25,Hass,Spain
1.19,6,230,4,9,231,23,Hass,Spain
0.71,3,107,3,7,108,10,Hass,Peru
0.76,3,179,3,7,180,36,Hass,Chile
0.81,2,151,4,8,152,12,Reed,Chile
0.81,4,134,3,7,135,35,Gwen,Peru
0.98,4,335,3,10,336,5,Pinkerton,Peru
1.19,3,250,4,10,192,9,Pinkerton,Peru
1.11,4,235,2,7,152,23,Pinkerton,Peru
1.03,4,255,3,9,256,11,Pinkerton,South Africa
0.64,3,132,4,7,133,17,Reed,Other
0.86,2,127,4,6,62,31,Pinkerton,Peru
1.09,5,348,4,8,199,16,Hass,Chile
0.71,3,282,3,8,283,11,Gwen,Spain
0.67,3,211,5,6,123,22,Pinkerton,Other
0.62,3,110,3,7,111,13,Gwen,Peru
1,4,192,4,8,155,30,Pinkerton,Other
0.75,4,189,3,7,124,14,Gwen,Israel
0.81,3,253,3,8,154,10,Reed,South Africa
0.88,4,255,3,7,256,5,Gwen,South Africa
0.79,3,155,4,6,156,31,Gwen,Israel
0.67,3,176,3,7,177,7,Reed,Israel
0.72,3,127,3,7,128,19,Hass,Israel
0.74,3,125,3,7,84,5,Reed,South Africa
0.9,3,162,4,8,163,20,Gwen,Israel
0.64,2,71,3,6,72,26,Pinkerton,Other
0.6,3,107,3,7,108,9,Gwen,Chile
0.64,4,232,4,8,117,18,Reed,Peru
0.95,4,545,5,9,546,12,Reed,Chile
0.9,4,167,3,8,168,7,Reed,Chile
1.07,3,301,3,10,302,6,Hass,Spain
0.59,2,134,3,6,135,27,Gwen,Other
0.57,2,79,3,7,80,37,Reed,Chile
1.45,4,340,3,10,280,4,Hass,South Africa
1.18,2,153,4,7,154,32,Hass,Chile
0.61,1,93,3,6,94,24,Hass,Peru
0.58,3,154,3,7,102,16,Reed,Chile
0.89,4,199,3,9,200,12,Pinkerton,Peru
0.87,3,230,3,9,231,12,Gwen,Chile
0.58,3,122,3,7,123,17,Pinkerton,Spain
0.78,3,238,4,8,120,21,Pinkerton,Chile
0.85,4,202,5,7,102,17,Pinkerton,Other
0.7,3,189,3,8,190,18,Pinkerton,Chile
0.8,2,133,3,7,134,12,Reed,Israel
0.78,3,149,4,7,120,20,Hass,Peru
1.12,5,355,3,9,256,7,Gwen,UK
0.91,5,204,4,7,103,19,Gwen,South Africa
1.14,4,238,4,9,239,19,Gwen,Chile
0.81,3,178,3,8,146,12,Reed,Israel
0.63,3,165,3,7,166,5,Reed,Israel
0.68,3,151,3,7,152,15,Gwen,Chile
0.91,2,110,4,7,111,26,Hass,Peru
0.72,3,219,4,8,220,14,Hass,South Africa
0.81,2,176,3,6,105,36,Hass,Peru
0.66,4,180,3,7,134,18,Gwen,South Africa
0.87,4,200,4,6,187,24,Pinkerton,Other
0.67,3,99,5,7,100,20,Gwen,Peru
0.64,2,148,3,7,149,24,Hass,Other
0.62,2,120,5,7,121,26,Reed,Israel
0.78,1,300,3,8,301,14,Hass,Spain
0.71,4,350.4,3,7,351.4,5,Pinkerton,Peru
0.74,3,130,3,7,131,19,Pinkerton,South Africa
0.79,4,133,3,7,134,31,Gwen,Other
0.77,4,185,4,7,113,21,Gwen,Chile
0.71,4,224,3,9,225,10,Hass,South Africa
0.72,3,126,3,7,105,6,Gwen,South Africa
0.84,8,280,3,8,189,8,Hass,Chile
0.71,4,182,4,7,183,17,Gwen,Other
1.25,3,173,3,8,174,8,Pinkerton,Israel
1.04,4,335,4,9,336,12,Hass,Chile
1.13,3,337,4,8,285,36,Hass,South Africa
0.99,3,124,5,7,125,31,Pinkerton,Chile
0.61,4,234,4,6,235,20,Reed,Spain
0.72,5,188,3,7,95,23,Pinkerton,Spain
0.9,3,181,3,7,102,33,Gwen,Other
0.76,3,234,4,6,121,26,Hass,Other
0.97,4,282,3,7,283,36,Pinkerton,Peru
0.68,3,102,3,7,103,27,Hass,Peru
0.72,3,209,4,7,130,14,Hass,Chile
0.67,4,183,4,7,184,10,Hass,South Africa
1.09,6,298,3,7,249,35,Pinkerton,Spain
0.62,4,160,4,7,161,20,Hass,Other
2.35,4,444,5,10,315,33,Pinkerton,Chile
0.57,3,120,3,7,121,20,Reed,Peru
0.66,3,123,4,7,124,36,Gwen,Chile
0.81,5,293,3,7,176,23,Pinkerton,Chile
0.86,3,237,3,8,194,14,Pinkerton,Spain
1.48,4,304,3,9,305,6,Gwen,Spain
0.76,3,161,3,7,107,17,Gwen,Peru
0.82,3,235,3,8,140,14,Pinkerton,Spain
1.02,3,200,4,8,201,21,Reed,Peru
1.17,4,353,3,10,258,11,Hass,Other
0.83,3,222,3,8,223,11,Reed,Spain
0.75,3,200,4,6,201,20,Hass,South Africa
0.86,2,121,5,7,122,23,Reed,Peru
0.82,2,114,3,8,115,4,Gwen,Spain
0.92,4,244,3,8,245,6,Pinkerton,Spain
0.59,3,156,3,6,157,9,Pinkerton,Peru
1.13,4,321,3,10,322,9,Pinkerton,Other
0.67,2,93,3,7,94,13,Gwen,Peru
0.7,3,178.2,3,7,179.2,7,Pinkerton,Chile
0.72,3,174,4,7,175,13,Reed,South Africa
0.8,5,369,3,9,190,12,Pinkerton,Other
1.07,4,293,3,9,294,7,Pinkerton,Chile
0.72,4,123,3,7,124,19,Reed,Chile
0.9,3,200,3,7,201,35,Pinkerton,Other
0.66,3,152,3,7,117,11,Gwen,Spain
0.94,2,104,4,7,105,34,Reed,Israel
0.61,4,112,3,6,113,17,Hass,Other
0.95,3,302,3,8,303,9,Gwen,Other
0.83,3,182,3,8,183,14,Hass,Peru
0.62,3,137,3,7,138,26,Gwen,South Africa
1.51,4,313,5,9,230,38,Hass,Peru
0.74,3,164,3,7,130,21,Hass,Chile
0.79,4,265,3,9,266,6,Hass,South Africa
0.9,4,285,3,9,286,6,Gwen,Other
0.81,3,182,4,7,123,22,Pinkerton,Peru
0.59,3,118,4,7,119,14,Hass,Other
0.87,6,188,5,7,165,22,Hass,Peru
0.68,3,128,4,7,129,14,Pinkerton,Spain
1.11,4,312,3,9,238,5,Reed,Israel
0.71,3,247,3,8,248,6,Reed,Chile
1.11,3,170,4,8,171,38,Hass,Spain
0.73,2,118,4,6,60,25,Gwen,Spain
0.8,6,280,3,7,141,17,Hass,Spain
1.02,4,130,4,6,131,33,Pinkerton,South Africa
1.13,5,304,5,9,198,17,Gwen,Chile
0.73,3,163,3,8,164,11,Pinkerton,Peru
0.72,3,134,5,7,135,20,Reed,Peru
0.68,3,183,4,7,144,18,Gwen,Peru
0.72,3,124,5,7,125,20,Gwen,Peru
0.74,4,250,3,7,155,16,Reed,UK
0.65,3,176,4,8,177,18,Hass,Israel
0.8,3,266,3,9,222,10,Gwen,Peru
0.6,3,206,3,6,207,39,Hass,South Africa
0.96,5,254,5,8,177,30,Pinkerton,Israel
1.86,5,483,3,10,373,2,Gwen,Other
0.71,3,140,4,7,71,34,Gwen,Spain
2.07,4,428,4,11,429,12,Pinkerton,Israel
0.89,4,223,5,7,146,15,Gwen,Israel
0.64,1,68,1,6,69,37,Hass,Israel
0.81,4,234,3,8,235,4,Hass,South Africa
0.75,3,207,3,7,208,10,Reed,Peru
0.59,4,191,4,6,92,34,Reed,Other
0.83,3,95,5,6,96,24,Gwen,Spain
0.94,5,291,5,7,152,14,Reed,Chile
1.1,3,293,3,9,294,7,Reed,South Africa
0.74,4,261,4,8,262,10,Gwen,South Africa
0.81,5,388,3,7,389,5,Hass,Peru
0.86,4,332,4,8,201,11,Reed,Other
1.09,5,194,3,8,195,38,Hass,Peru
0.89,4,251,3,9,252,14,Pinkerton,Chile
1.05,4,266,3,9,267,6,Hass,Israel
0.76,3,171,5,7,172,23,Gwen,Israel
0.81,2,132,3,6,133,36,Gwen,South Africa
0.68,2,96,3,6,97,24,Hass,Peru
0.78,3,179,5,7,120,17,Reed,Peru
0.84,2,95,3,6,82,32,Pinkerton,Chile
0.84,6,294,3,7,295,26,Reed,Peru
0.74,2,93,3,7,68,6,Reed,Peru
1.31,3,457,3,12,458,10,Pinkerton,Other
0.89,3,237,4,8,158,23,Hass,South Africa
1.15,5,343,3,10,344,7,Hass,Israel
0.9,4,354,3,10,355,6,Hass,South Africa
0.94,3,224,3,9,225,12,Reed,Peru
0.88,4,271,3,8,171,17,Gwen,Chile
0.94,3,266,3,8,267,2,Reed,Peru
0.88,5,254,4,8,155,22,Hass,Israel
0.88,4,221,4,8,222,17,Gwen,Other
0.94,4,357,3,10,287,2,Gwen,Other
1.11,4,345,3,9,346,8,Reed,Other
0.76,4,233,4,8,234,17,Hass,Peru
0.84,4,169,3,7,156,40,Hass,Peru
0.68,3,103,4,7,104,18,Hass,Spain
1.43,5,256,3,8,223,32,Hass,Chile
0.68,4,195,3,7,196,6,Hass,South Africa
2.43,4,437,4,10,368,38,Gwen,South Africa
0.77,4,235,3,7,236,7,Pinkerton,Peru
0.83,4,316,4,7,189,17,Pinkerton,Peru
0.69,4,243,3,8,244,10,Reed,Peru
0.61,3,134,3,5,135,22,Pinkerton,Peru
0.68,3,101,3,6,102,14,Hass,South Africa
0.71,3,177,3,8,134,13,Reed,Spain
0.66,3,121,3,7,122,6,Hass,Chile
1.26,4,333,3,9,176,17,Hass,South Africa
0.73,3,124,4,7,107,27,Hass,South Africa
1.03,3,125,4,7,116,40,Gwen,Peru
1.18,4,296,3,10,297,12,Reed,Spain
0.59,2,84,3,6,85,9,Gwen,South Africa
0.8,3,153,3,7,121,18,Gwen,Peru
1.21,4,375,3,10,376,15,Reed,Israel
0.67,4,215,4,7,125,14,Pinkerton,Other
1.2,4,156,3,7,157,35,Hass,Israel
0.9,3,204,3,7,142,21,Reed,South Africa
0.64,2,86,3,6,87,35,Gwen,Peru
0.72,3,172,4,7,173,23,Hass,Other
0.66,4,209,3,7,210,15,Gwen,South Africa
1.01,4,213,4,8,214,14,Pinkerton,Other
0.62,2,130,4,6,131,15,Gwen,Peru
0.61,2,122,3,6,123,16,Reed,Israel
1.24,4,242,3,7,153,34,Reed,South Africa
0.86,4,294,3,9,188,8,Gwen,South Africa
1.09,3,261,3,9,262,8,Hass,Other
0.61,4,188,5,6,99,25,Gwen,Peru
0.92,4,233,3,7,172,12,Gwen,Other
0.82,4,220,3,7,207,9,Pinkerton,UK
0.6,4,172,3,7,173,20,Hass,Israel
0.95,3,225,3,9,226,11,Reed,Israel
0.87,4,164,5,6,165,38,Reed,Spain
1.39,4,413,3,11,414,6,Reed,Other
0.71,5,260,3,7,261,5,Hass,Israel
0.63,4,192,3,8,193,22,Reed,Israel
0.92,3,206,4,9,207,11,Reed,Spain
1.22,4,571,3,11,572,4,Reed,Israel
1.15,4,272,3,8,273,15,Hass,Peru
0.78,3,149,3,7,110,15,Gwen,South Africa
0.84,3,236,5,7,135,30,Hass,Israel
0.68,5,194,3,7,195,21,Hass,Peru
0.8,4,257,3,8,258,13,Gwen,Other
0.81,3,116,3,7,117,27,Reed,Chile
0.93,3,266,3,8,267,10,Reed,Peru
0.83,3,126,3,7,127,6,Reed,Spain
0.93,4,178,3,8,132,23,Hass,Other
1.55,4,318,3,10,319,38,Gwen,South Africa
1.65,4,338,3,10,339,18,Reed,Israel
1.02,4,269,3,9,190,14,Hass,Spain
0.66,2,118,4,6,119,24,Reed,Peru
0.74,3,166,4,7,117,14,Gwen,Chile
0.81,4,226,3,7,227,6,Hass,Peru
0.94,5,191,3,8,140,22,Hass,Other
0.64,4,243,3,7,144,20,Pinkerton,Peru
0.85,2,130,4,7,78,31,Reed,Israel
0.81,3,106,3,7,92,23,Pinkerton,Israel
0.73,3,220,3,8,221,13,Hass,Peru
0.82,4,172,5,7,105,30,Reed,South Africa
1.07,3,236,4,7,119,23,Hass,South Africa
0.76,2,82,3,6,83,23,Reed,Chile
0.83,2,103,3,7,104,32,Pinkerton,South Africa
0.9,4,203,4,9,174,27,Pinkerton,South Africa
0.91,5,270,4,6,196,24,Reed,South Africa
0.59,2,110,3,6,111,13,Pinkerton,Chile
1.73,4,362,4,11,236,31,Reed,Spain
0.65,3,134,3,7,135,13,Gwen,Other
0.63,3,179,3,7,105,20,Hass,Israel
1.37,4,383,4,9,204,17,Reed,Peru
0.64,3,158,4,7,109,15,Reed,Peru
1.04,2,202,4,7,171,24,Hass,Chile
1.2,4,333,3,10,334,8,Pinkerton,Chile
1.13,4,261,5,7,162,31,Pinkerton,Other
1.08,4,261,4,8,177,14,Reed,Chile
0.92,3,174,3,8,175,4,Hass,Peru
0.75,3,184,3,8,185,10,Pinkerton,Peru
1.11,3,108,4,7,89,31,Hass,Other
0.87,4,124,4,7,125,25,Hass,Chile
1.77,5,562,3,11,471,7,Gwen,Chile
0.58,2,117,3,6,118,36,Gwen,South Africa
0.73,4,176,3,7,177,11,Gwen,Israel
0.85,4,223,4,8,141,19,Hass,Chile
0.76,3,152,4,7,115,16,Hass,Spain
0.61,2,145,3,7,86,23,Pinkerton,Other
0.8,3,160,3,7,95,12,Gwen,Other
0.69,5,322,3,8,323,6,Reed,Other
0.72,4,183,3,7,184,6,Pinkerton,Peru
0.99,4,220,4,8,144,16,Hass,South Africa
1.06,2,217,3,8,218,4,Gwen,Chile
1.01,5,190,5,7,191,18,Gwen,South Africa
0.9,5,296,4,7,149,20,Pinkerton,Chile
0.77,2,171,3,7,134,33,Gwen,Other
1.08,4,262,3,9,144,12,Hass,Peru
0.96,3,214,3,8,169,36,Hass,Peru
0.6,4,210,3,6,211,35,Reed,South Africa
0.74,4,210,3,6,211,35,Pinkerton,Chile
0.83,3,146,4,8,116,11,Gwen,South Africa
0.74,2,99,3,7,100,22,Pinkerton,Peru
0.78,4,219,5,7,135,17,Reed,Spain
1,5,399,3,9,272,6,Pinkerton,Peru
0.95,3,234,3,9,235,7,Pinkerton,Israel
0.64,4,246,4,7,124,24,Reed,Peru
0.72,5,208,3,7,105,23,Hass,Other
0.95,3,170,3,7,171,31,Reed,Other
0.72,3,133,4,7,134,23,Reed,Israel
0.79,3,163,3,7,164,9,Reed,Peru
1.15,5,292,5,8,167,17,Reed,Spain
1.13,5,283,3,9,284,3,Reed,Peru
1.14,4,319,4,10,320,13,Hass,Israel
1.14,3,149,3,8,150,12,Hass,Israel
0.72,3,163,3,8,164,7,Pinkerton,Spain
0.72,4,228,3,7,229,6,Pinkerton,South Africa
1.39,6,301,3,9,201,2,Hass,Chile
0.7,3,159,3,7,160,5,Gwen,South Africa
0.55,3,125,4,7,126,17,Reed,Chile
0.72,3,171,3,6,132,24,Reed,Israel
1.1,4,328,3,10,329,4,Pinkerton,Spain
0.78,4,336.2,3,8,337.2,5,Pinkerton,Peru
0.92,3,220,3,9,221,14,Gwen,Peru
0.72,2,83,3,7,84,5,Reed,Peru
0.9,3,216,4,7,177,29,Hass,Peru
0.81,4,258,3,8,259,7,Reed,Spain
0.68,3,215,3,6,216,22,Hass,Peru
1.21,4,351,3,10,352,11,Reed,Other
1.77,4,381,3,11,382,10,Gwen,Other
0.94,4,202,3,8,102,34,Pinkerton,Peru
1.07,4,212,4,7,163,20,Hass,Chile
0.77,3,125,3,7,126,25,Pinkerton,Spain
0.54,3,98,3,7,99,17,Gwen,Peru
0.71,4,125,3,7,97,23,Gwen,Chile
0.71,4,110,5,6,111,39,Gwen,Israel
0.75,3,133,5,6,72,28,Gwen,Spain
0.84,4,256,4,7,151,17,Hass,South Africa
0.83,4,185,3,7,122,13,Hass,Israel
1.32,4,279,3,8,189,38,Hass,Chile
0.89,4,166,3,7,127,30,Hass,Peru
0.69,2,108,4,6,73,34,Gwen,Peru
0.93,3,303,4,7,211,20,Hass,South Africa
0.8,4,238,3,7,239,6,Gwen,Spain
0.7,3,225,3,8,226,13,Hass,Peru
0.77,2,88,3,6,89,30,Reed,South Africa
1.01,4,277,3,10,278,11,Hass,South Africa
0.72,3,134,3,7,135,22,Reed,Other
0.69,3,166,4,7,167,23,Reed,Spain
0.78,3,171,3,7,172,4,Gwen,Spain
0.92,2,162,3,7,105,32,Pinkerton,Spain
0.85,3,153,5,8,154,16,Pinkerton,Peru
0.61,3,144,3,7,145,19,Pinkerton,Peru
0.97,4,202,3,7,203,17,Reed,Chile
0.82,4,187,5,7,188,24,Gwen,Israel
0.65,2,62,3,6,63,26,Gwen,Chile
1.06,5,577.4,3,11,450,12,Gwen,Spain
0.62,3,124,3,6,125,24,Reed,South Africa
0.69,3,189,5,7,147,14,Reed,South Africa
0.79,3,241,4,8,142,13,Reed,Spain
0.82,3,153,3,8,154,8,Hass,Spain
0.64,5,280,3,7,281,19,Hass,Israel
0.7,3,146,3,7,102,14,Reed,South Africa
0.59,4,158,3,7,87,14,Gwen,Israel
0.84,3,145,3,8,146,40,Hass,Spain
0.75,4,199,4,7,200,15,Hass,Spain
0.94,6,447,3,9,324,2,Pinkerton,Israel
0.71,5,198,3,7,123,10,Pinkerton,Peru
1.02,4,292,4,9,293,10,Hass,Peru
0.7,4,166,4,6,84,24,Gwen,UK
1.49,4,319,4,9,242,36,Hass,Spain
0.71,3,156,4,7,157,20,Hass,Peru
1.14,3,305,3,8,306,5,Pinkerton,Other
0.95,4,303,3,8,304,11,Reed,Chile
0.9,3,226,3,7,227,5,Pinkerton,South Africa
0.63,3,126,3,7,127,18,Hass,Peru
1.28,3,337,4,9,338,13,Reed,South Africa
0.66,3,149,3,8,150,14,Pinkerton,Israel
0.67,3,157,3,7,112,14,Pinkerton,South Africa
1.89,4,449,4,10,310,26,Pinkerton,Chile
2.48,4,409,4,11,341,31,Hass,Other
1.22,5,415,3,10,416,11,Gwen,Chile
1.22,4,290,5,8,154,20,Pinkerton,Other
0.61,4,143,3,7,104,14,Pinkerton,Peru
0.84,2,100.8,4,6,101.8,26,Hass,Peru
0.84,2,148,4,6,85,23,Gwen,Peru
0.72,3,124,4,7,125,14,Hass,South Africa
0.62,3,137,4,7,112,14,Gwen,South Africa
0.76,4,177,4,8,120,18,Hass,Peru
0.9,3,216,3,8,142,18,Hass,Chile
0.93,4,234,3,9,235,11,Reed,South Africa
0.79,1,96,5,5,97,25,Pinkerton,South Africa
0.72,4,228,3,7,140,12,Pinkerton,Israel
0.79,3,197,3,8,198,11,Reed,Peru
0.68,4,153,3,7,154,17,Hass,Other
1.11,4,179,4,8,180,29,Gwen,Peru
0.64,3,170,3,8,171,8,Pinkerton,Other
0.94,3,266,4,7,134,33,Gwen,Spain
0.78,3,195,4,8,196,12,Gwen,Israel
0.64,3,134,3,6,135,9,Reed,Spain
0.75,3,113,3,7,114,22,Reed,Peru
1.04,2,195,5,7,102,34,Gwen,South Africa
0.83,5,379,3,8,213,6,Pinkerton,Spain
0.84,4,202,3,7,203,8,Gwen,Other
0.8,2,80,3,7,81,25,Gwen,Chile
0.73,4,177,5,6,178,24,Hass,Peru
0.64,1,94,3,6,95,25,Hass,Spain
1.09,4,226,3,10,227,12,Gwen,Other
0.78,2,89,4,6,90,34,Reed,Chile
0.78,2,86,4,6,87,35,Pinkerton,Peru
0.6,1,68,3,5,69,24,Reed,Israel
1.13,2,213,4,7,214,19,Hass,Spain
1.02,3,239,3,9,240,5,Hass,Other
1.12,4,348.8,3,10,349.8,7,Pinkerton,Peru
0.61,3,126,3,7,83,12,Hass,Other
0.97,3,294,4,8,160,21,Gwen,South Africa
0.91,4,244,3,9,245,10,Gwen,Spain
0.77,4,260,3,10,261,11,Hass,South Africa
0.9,3,208,4,7,105,23,Gwen,South Africa
0.69,3,199,3,7,200,16,Hass,South Africa
0.85,4,284,3,9,285,9,Gwen,Peru
0.79,6,263,3,7,162,20,Gwen,Israel
1.79,3,282,4,10,247,30,Pinkerton,South Africa
0.96,4,156,3,7,157,32,Pinkerton,Israel
0.71,4,233,3,8,234,7,Pinkerton,South Africa
1.25,4,332,4,8,182,13,Gwen,Spain
0.68,3,173,3,7,174,20,Gwen,Peru
0.77,4,311,3,8,312,6,Gwen,Israel
0.7,3,123,3,7,124,17,Reed,Peru
0.79,2,95,4,7,96,24,Hass,Peru
0.69,3,189,5,7,190,18,Gwen,South Africa
0.59,3,101,3,6,102,26,Hass,Spain
0.58,3,101,4,6,102,33,Reed,Israel
0.82,4,234,3,8,118,12,Pinkerton,South Africa
1.04,4,246,3,9,247,14,Gwen,Other
0.83,2,101,3,7,102,33,Gwen,Peru
0.67,3,165,3,7,166,10,Hass,Spain
0.58,4,144,4,7,145,18,Hass,Peru
0.9,5,171,4,7,133,31,Reed,Chile
1.13,3,276,3,10,201,10,Gwen,Peru
0.66,2,135,4,7,136,23,Pinkerton,Peru
0.96,3,166,3,7,167,38,Gwen,South Africa
1.29,4,296,3,8,217,40,Pinkerton,Spain
0.82,1,109,4,6,110,32,Reed,Chile
0.84,3,311,3,9,312,10,Gwen,Chile
0.66,3,138,3,7,139,10,Hass,Chile
0.69,2,129,3,7,130,4,Hass,Chile
1.07,3,198,5,7,199,20,Pinkerton,Israel
0.76,2,87,4,7,88,27,Reed,Peru
0.73,4,247,3,8,248,5,Reed,Israel
0.86,3,214,5,8,150,23,Reed,Peru
0.56,3,77,3,6,78,26,Pinkerton,Israel
0.92,3,149,3,8,123,6,Gwen,Chile
0.96,4,251,4,8,162,14,Reed,Spain
0.66,5,195,3,7,114,19,Hass,Peru
1.14,5,360,5,8,181,20,Hass,Israel
0.72,4,238,3,8,239,8,Pinkerton,Chile
0.71,2,72,3,6,73,26,Hass,Peru
1.69,3,407,3,11,408,10,Reed,Peru
0.83,3,125,3,7,126,15,Gwen,Other
1.04,3,219,3,8,220,2,Gwen,Other
0.63,1,81,5,7,82,26,Pinkerton,Other
1.17,3,244,3,8,133,27,Reed,Spain
0.75,4,174,3,7,175,15,Reed,Other
0.7,3,148,3,7,149,12,Pinkerton,Other
0.83,4,212,3,9,213,10,Pinkerton,Chile
0.56,1,90,5,6,91,35,Pinkerton,Peru
0.61,2,119,3,6,120,27,Gwen,South Africa
0.72,4,101,3,6,76,32,Gwen,Peru
0.86,3,210,4,8,211,12,Pinkerton,South Africa
0.82,4,202,4,7,139,14,Gwen,Chile
0.98,3,252,3,8,180,21,Hass,Spain
0.74,2,137,3,8,109,4,Hass,South Africa
0.64,3,153,3,7,154,6,Reed,Israel
0.7,3,153,3,7,154,6,Reed,Chile
2.59,4,504,3,10,343,23,Reed,Israel
0.72,4,253,3,7,254,15,Reed,Spain
0.8,2,101,5,5,102,38,Gwen,Peru
0.61,3,120,4,7,121,20,Gwen,South Africa
1.23,4,272,5,9,273,21,Reed,Spain
0.77,4,185,3,6,112,25,Hass,Other
1.76,3,234,4,9,235,22,Gwen,Other
0.88,4,186,3,7,147,17,Pinkerton,Peru
0.89,4,194,4,8,157,21,Pinkerton,Other
0.92,2,168,3,8,169,5,Reed,Israel
0.63,4,177,3,8,126,14,Gwen,Other
0.66,3,179,3,8,180,7,Reed,Other
0.75,4,172,4,8,173,17,Hass,Israel
0.59,3,128,3,7,129,24,Pinkerton,South Africa
0.68,3,169,3,7,170,6,Reed,Israel
0.72,4,219,3,8,220,6,Pinkerton,Peru
0.7,2,71,4,6,72,26,Hass,Chile
0.7,4,189,3,7,190,19,Gwen,South Africa
0.8,2,141,5,8,142,37,Gwen,Spain
0.79,3,221,3,8,183,8,Hass,South Africa
0.66,3,154,3,7,155,7,Reed,UK
0.77,4,135,4,7,136,20,Hass,Spain
